DailyTimeSpentOnSite,Age,AreaIncome,DailyInternetUsage,AdTopicLine,City,Male,Country,Timestamp,ClickedOnAd
38.52,38,42581.23,137.28,Customer-focused 24/7 concept,Lesliebury,1,Saint Vincent and the Grenadines,2022-04-29T23:59:06Z,1
63.88,38,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,0,Madagascar,2022-04-29T23:56:06Z,1
41.88,40,44217.68,126.11,Streamlined exuding adapter,Port Rachel,1,Cyprus,2022-04-29T23:54:44Z,1
77.05,27,66624.6,191.14,Reduced bi-directional strategy,North Anna,0,United Arab Emirates,2022-04-29T23:48:29Z,0
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2022-04-29T23:47:56Z,0
71.03,32,57846.68,120.85,Advanced systemic productivity,Keithtown,0,Netherlands Antilles,2022-04-29T23:47:00Z,1
64.2,27,66200.96,227.63,Phased zero tolerance extranet,Edwardsmouth,1,Isle of Man,2022-04-29T23:45:01Z,0
86.58,32,60151.77,195.93,Business-focused asynchronous budgetary management,Henryfort,1,Mexico,2022-04-29T23:44:44Z,0
37.32,50,56735.14,199.25,Versatile dedicated software,New Nancy,1,Chad,2022-04-29T23:40:52Z,1
56.34,50,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,1,Anguilla,2022-04-29T23:39:28Z,1
76.64,39,66217.31,241.5,Reverse-engineered web-enabled support,North Daniel,1,Poland,2022-04-29T23:38:30Z,0
66.63,60,60333.38,176.98,User-friendly upward-trending intranet,New Lucasburgh,0,Madagascar,2022-04-29T23:37:51Z,1
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,2022-04-29T23:36:03Z,0
48.46,49,61230.03,132.38,Devolved human-resource circuit,Lisamouth,1,Indonesia,2022-04-29T23:33:22Z,1
35.98,47,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,1,El Salvador,2022-04-29T23:26:54Z,1
55.71,37,57806.03,112.52,Upgradable 4thgeneration portal,Lake James,1,Korea,2022-04-29T23:26:44Z,1
72.8,35,63551.67,249.54,Public-key solution-oriented focus group,Austinland,0,Puerto Rico,2022-04-29T23:21:26Z,0
39.96,35,53898.89,138.52,Phased leadingedge budgetary management,Kingchester,1,Pitcairn Islands,2022-04-29T23:21:22Z,1
66.18,55,28271.84,143.42,Vision-oriented contextually-based extranet,Frankbury,0,Svalbard & Jan Mayen Islands,2022-04-29T23:14:30Z,1
57.7,34,42696.67,109.07,Phased dynamic customer loyalty,New Tina,0,Australia,2022-04-29T23:13:11Z,1
66.83,46,77871.75,196.17,Assimilated hybrid initiative,North Jeremyport,1,Cyprus,2022-04-29T23:10:32Z,0
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,New Steve,1,United States of America,2022-04-29T23:08:59Z,0
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,2022-04-29T23:08:57Z,0
55.46,37,42078.89,108.1,Exclusive systematic algorithm,Chrismouth,0,Taiwan,2022-04-29T23:07:11Z,1
66.08,61,58966.22,184.23,Synchronized multi-tasking ability,Klineside,1,Cuba,2022-04-29T23:02:43Z,1
66.04,27,71881.84,199.76,Synergistic non-volatile analyzer,Cassandratown,0,Mauritius,2022-04-29T23:02:11Z,0
80.55,35,68016.9,219.91,Extended grid-enabled hierarchy,Port Brittanyville,0,British Virgin Islands,2022-04-29T23:01:24Z,0
63.11,34,63107.88,254.94,Balanced mobile Local Area Network,Port Karenfurt,1,Micronesia,2022-04-29T22:59:46Z,0
67.85,41,78520.99,202.7,Reactive tangible contingency,East Ronald,1,Saint Helena,2022-04-29T22:51:34Z,1
65.4,33,66699.12,247.31,Adaptive 24hour Graphic Interface,Sylviaview,0,Palau,2022-04-29T22:51:08Z,0
91.1,40,55499.69,198.13,Secured intermediate approach,Michaelmouth,1,Bolivia,2022-04-29T22:51:00Z,0
50.6,48,65956.71,135.67,Customer-focused fault-tolerant implementation,Port Michaelmouth,0,Brazil,2022-04-29T22:49:45Z,1
39.94,41,64927.19,156.3,Function-based optimizing protocol,Williamsborough,0,Lithuania,2022-04-29T22:47:10Z,1
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,1,Qatar,2022-04-29T22:46:43Z,0
59.01,30,75265.96,178.75,Focused multimedia implementation,West Annefort,1,Philippines,2022-04-29T22:45:26Z,1
71.83,40,22205.74,135.48,Diverse background ability,Costaburgh,1,Rwanda,2022-04-29T22:42:33Z,1
78.15,33,72042.85,194.37,Ergonomic neutral portal,New Maria,0,Algeria,2022-04-29T22:32:15Z,0
76.84,32,65883.39,231.59,Reduced incremental productivity,Faithview,0,Singapore,2022-04-29T22:31:16Z,0
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,0,Afghanistan,2022-04-29T22:28:52Z,1
83.91,29,53223.58,222.87,Distributed bifurcated challenge,Haleberg,0,Burundi,2022-04-29T22:27:25Z,0
77.05,31,62161.26,236.64,Upgradable local migration,Hallfort,0,Jamaica,2022-04-29T22:27:25Z,0
47.23,43,73538.09,210.87,Optimized upward-trending productivity,Yangside,1,Svalbard & Jan Mayen Islands,2022-04-29T22:24:02Z,1
64.88,42,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,1,Equatorial Guinea,2022-04-29T22:23:30Z,1
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,1,Aruba,2022-04-29T22:13:37Z,0
56.56,26,68783.45,204.47,Compatible composite project,Port Jasmine,1,Grenada,2022-04-29T22:11:13Z,0
40.01,53,51463.17,161.77,Sharable multimedia conglomeration,East Brettton,0,Ecuador,2022-04-29T22:06:37Z,1
68.18,21,48376.14,218.17,Switchable 3rdgeneration hub,Sanchezmouth,1,Czech Republic,2022-04-29T22:04:54Z,0
79.53,33,61467.33,236.72,Profound well-modulated array,East Aaron,0,Indonesia,2022-04-29T22:02:14Z,0
75.32,28,59998.5,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,2022-04-29T21:58:55Z,0
55.13,45,55605.92,111.71,Customizable executive software,Lake Conniefurt,0,Ukraine,2022-04-29T21:55:29Z,1
72.97,30,71384.57,208.58,Fundamental modular algorithm,Duffystad,1,Lebanon,2022-04-29T21:49:00Z,1
84.53,27,40763.13,168.34,Stand-alone tangible moderator,Turnerchester,0,Guatemala,2022-04-29T21:48:38Z,1
84.31,29,47139.21,225.87,Object-based optimal solution,West Dannyberg,0,Djibouti,2022-04-29T21:43:22Z,0
68.11,38,73884.48,231.21,Reactive national success,South Meredithmouth,0,Seychelles,2022-04-29T21:21:50Z,0
69.86,25,50506.44,241.36,Triple-buffered foreground encryption,Austinborough,0,New Zealand,2022-04-29T21:17:15Z,0
39.19,54,52581.16,173.05,Stand-alone empowering benchmark,Leahside,0,Guatemala,2022-04-29T21:15:57Z,1
89.34,32,50216.01,177.78,Object-based executive productivity,Wendyton,1,Paraguay,2022-04-29T21:15:54Z,0
56.39,27,38817.4,248.12,Configurable tertiary capability,North Tylerland,1,Bahrain,2022-04-29T21:06:51Z,0
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,2022-04-29T20:59:32Z,0
78.29,38,57844.96,252.07,Networked regional Local Area Network,Villanuevaton,0,Liberia,2022-04-29T20:58:42Z,0
39.36,29,52462.04,161.79,Mandatory disintermediate info-mediaries,Jeremybury,1,Bahamas,2022-04-29T20:58:10Z,1
86.06,32,61601.05,178.92,Focused upward-trending core,North Leonmouth,1,Bulgaria,2022-04-29T20:55:22Z,0
43.16,29,50666.5,143.04,Robust holistic application,Wendyville,1,Saint Vincent and the Grenadines,2022-04-29T20:53:19Z,1
60.83,19,40478.83,185.46,Versatile next generation pricing structure,West Lacey,1,Palestinian Territory,2022-04-29T20:49:27Z,0
84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,2022-04-29T20:47:57Z,0
