DailyTimeSpentOnSite,Age,AreaIncome,DailyInternetUsage,AdTopicLine,City,Male,Country,Timestamp,ClickedOnAd
57.11,22,59677.64,207.17,Self-enabling tertiary challenge,Lake Jonathanview,1,Dominican Republic,2022-05-01T23:46:51Z,0
84.69,31,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,1,Maldives,2022-05-01T23:32:38Z,0
76.21,31,65834.97,228.94,Ameliorated exuding encryption,Lake Timothy,1,Bolivia,2022-05-01T23:21:38Z,0
70.9,28,71727.51,190.95,Centralized client-driven workforce,Port Juan,0,Kyrgyz Republic,2022-05-01T23:19:38Z,0
84.81,32,43299.63,233.93,Multi-layered stable encoding,Brownbury,1,Greece,2022-05-01T23:17:47Z,0
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,0,Croatia,2022-05-01T23:14:35Z,0
39.47,43,65576.05,163.48,Team-oriented systematic installation,Crawfordfurt,1,Uganda,2022-05-01T23:09:07Z,1
56.99,40,37713.23,108.15,Sharable optimal capacity,Brownton,0,Bahamas,2022-05-01T23:08:54Z,1
71.55,36,75687.46,163.99,Inverse next generation moratorium,South Troy,1,Suriname,2022-05-01T23:08:28Z,0
56.78,28,39939.39,124.32,Mandatory empowering focus group,Melanieton,0,Senegal,2022-05-01T23:04:45Z,1
65.15,29,41335.84,117.3,Expanded value-added emulation,Brandonbury,0,Hong Kong,2022-05-01T22:43:29Z,1
71.05,20,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,2022-05-01T22:41:45Z,0
60.7,43,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,2022-05-01T22:41:24Z,0
72.03,34,70783.94,230.95,Up-sized bi-directional infrastructure,Greerton,1,Malta,2022-05-01T22:33:48Z,0
48.26,50,43573.66,122.45,User-centric intermediate knowledge user,South Margaret,1,Liechtenstein,2022-05-01T22:31:22Z,1
76.87,36,72948.76,212.59,Down-sized bandwidth-monitored core,Mullenside,0,South Georgia and the South Sandwich Islands,2022-05-01T22:30:10Z,0
73.04,37,73687.5,221.79,Organic contextually-based focus group,Erinmouth,1,Senegal,2022-05-01T22:26:16Z,0
72.18,30,69438.04,225.02,De-engineered attitude-oriented projection,Lisamouth,0,Bolivia,2022-05-01T22:21:10Z,0
48.03,40,25598.75,134.6,Networked stable array,East Lindsey,1,Malta,2022-05-01T22:16:08Z,1
53.14,38,49111.47,109.0,Automated web-enabled migration,West Julia,1,Greenland,2022-05-01T22:13:19Z,1
35.33,32,51510.18,200.22,Organized client-driven alliance,Bradleyburgh,0,Turks and Caicos Islands,2022-05-01T22:11:34Z,1
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,0,Gabon,2022-05-01T22:08:15Z,0
79.82,26,51512.66,223.28,Function-based directional productivity,Jayville,1,Micronesia,2022-05-01T22:04:54Z,0
